epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6743.51,1.05958,0.87052,1.18433,0.60091,0.33014,0.40505,0.17118,2.60411,2.29322,2.5081,0.000918991,0.000918991,0.000918991
43,6901.58,1.01878,0.8851,1.17977,0.51986,0.39876,0.40268,0.17745,2.61045,2.19503,2.47409,0.000897557,0.000897557,0.000897557
44,7120.62,1.04442,0.85258,1.18873,0.60867,0.48644,0.44394,0.18969,2.43209,2.21525,2.42204,0.00087595,0.00087595,0.00087595
45,7285.35,1.09532,0.90212,1.20575,0.66965,0.48291,0.47903,0.18413,2.41687,2.14994,2.39106,0.00085419,0.00085419,0.00085419
46,7465.71,1.04164,0.85312,1.20535,0.63998,0.46615,0.46975,0.20813,2.4816,1.97788,2.43072,0.0008323,0.0008323,0.0008323
47,7652.52,1.04858,0.82993,1.20694,0.63021,0.43045,0.47804,0.19443,2.49014,1.97822,2.40978,0.0008103,0.0008103,0.0008103
48,7838.45,1.05508,0.85131,1.21116,0.60065,0.44822,0.47681,0.18912,2.49917,2.09637,2.39848,0.000788213,0.000788213,0.000788213
49,8037.07,1.03643,0.83657,1.16899,0.76638,0.36045,0.4749,0.18755,2.50987,2.06947,2.42818,0.00076606,0.00076606,0.00076606
50,8232.28,1.07761,0.87248,1.21912,0.78,0.49757,0.58266,0.21261,2.56278,2.00633,2.4873,0.000743864,0.000743864,0.000743864
51,8409.68,1.0815,0.79819,1.1802,0.79379,0.37321,0.44654,0.14654,2.58579,2.17877,2.53507,0.000721645,0.000721645,0.000721645
52,8591.73,1.02099,0.79233,1.14888,0.67386,0.4992,0.53894,0.14973,2.61856,2.32873,2.5572,0.000699426,0.000699426,0.000699426
53,8762.69,0.98053,0.76545,1.14783,0.66822,0.52621,0.55865,0.21941,2.45398,2.29022,2.39133,0.00067723,0.00067723,0.00067723
54,8932.84,0.99182,0.82976,1.18313,0.72188,0.4689,0.58856,0.23672,2.37259,1.73278,2.31589,0.000655077,0.000655077,0.000655077
55,9112.49,1.04349,0.82988,1.16471,0.8288,0.26475,0.36066,0.14909,2.59913,2.33745,2.54454,0.00063299,0.00063299,0.00063299
56,9297.32,0.99148,0.74196,1.1483,0.40923,0.3126,0.32295,0.12802,2.76002,2.50546,2.66372,0.00061099,0.00061099,0.00061099
57,9451.65,0.99346,0.8338,1.16659,0.44538,0.57918,0.48287,0.1839,2.65695,2.27498,2.54319,0.0005891,0.0005891,0.0005891
58,9669.02,0.97552,0.76284,1.14348,0.72214,0.45136,0.50406,0.19755,2.4541,2.31823,2.28118,0.00056734,0.00056734,0.00056734
59,9887.39,0.91678,0.72227,1.11221,0.76772,0.40059,0.499,0.19217,2.45165,2.4358,2.32699,0.000545733,0.000545733,0.000545733
60,10049.6,0.95715,0.73958,1.12317,0.4583,0.48684,0.45158,0.18995,2.48348,2.39172,2.38331,0.000524299,0.000524299,0.000524299
61,10186.8,0.91054,0.68086,1.10194,0.48068,0.45614,0.44709,0.17984,2.54693,2.22275,2.4078,0.00050306,0.00050306,0.00050306
62,10301.4,0.91012,0.67799,1.10176,0.58579,0.45614,0.47578,0.1825,2.46056,1.97394,2.35041,0.000482037,0.000482037,0.000482037
63,10417,0.97692,0.69005,1.11574,0.70863,0.45136,0.52053,0.17749,2.44584,2.02986,2.38749,0.00046125,0.00046125,0.00046125
64,10534.1,0.97054,0.73329,1.12238,0.65292,0.51195,0.53132,0.1676,2.65504,2.24411,2.61987,0.00044072,0.00044072,0.00044072
65,10646.9,0.93297,0.72648,1.13259,0.59483,0.42768,0.48571,0.15919,2.60571,2.42274,2.62175,0.000420468,0.000420468,0.000420468
66,10760,0.87838,0.69892,1.10925,0.62947,0.54764,0.53211,0.19791,2.53525,2.4543,2.52602,0.000400513,0.000400513,0.000400513
67,10873.4,0.88056,0.68818,1.12577,0.60655,0.54705,0.47334,0.17715,2.43742,2.54904,2.44687,0.000380874,0.000380874,0.000380874
68,10988,0.87355,0.66607,1.09878,0.63806,0.54009,0.51544,0.19671,2.5515,2.5041,2.55571,0.000361572,0.000361572,0.000361572
69,11103.6,0.87339,0.65135,1.09161,0.51926,0.45884,0.48462,0.1934,2.61332,2.43125,2.58498,0.000342625,0.000342625,0.000342625
70,11216.8,0.85838,0.65659,1.08372,0.56583,0.37082,0.41208,0.16963,2.61085,2.51006,2.53739,0.000324053,0.000324053,0.000324053
71,11330.2,0.91024,0.6938,1.10453,0.56527,0.43381,0.47256,0.20756,2.5347,2.32064,2.42426,0.000305872,0.000305872,0.000305872
72,11443.4,0.86109,0.6663,1.07327,0.70133,0.45935,0.49707,0.20275,2.58891,2.11433,2.47702,0.000288102,0.000288102,0.000288102
73,11563.6,0.82739,0.6336,1.0506,0.81774,0.42752,0.50705,0.2015,2.68841,2.14977,2.57197,0.00027076,0.00027076,0.00027076
74,11683.1,0.88657,0.70784,1.11111,0.8386,0.3931,0.5114,0.19803,2.70346,2.24353,2.65135,0.000253863,0.000253863,0.000253863
